GSM4233218_WT_806_6M_FC.txt	GSM4233219_WT_807_6M_FC.txt	GSM4233220_WT_817_6M_FC.txt	GSM4233221_WT_819_6M_FC.txt	GSM4233222_TG_967_6M_FC.txt	GSM4233223_TG_968_6M_FC.txt	GSM4233224_TG_970_6M_FC.txt	GSM4233225_WT_178_11M_FC.txt	GSM4233226_WT_772_11M_FC.txt	GSM4233227_WT_774_11M_FC.txt	GSM4233228_TG_180_11M_FC.txt	GSM4233229_TG_183_11M_FC.txt	GSM4233230_TG_795_11M_FC.txt
2665.00	2315.00	3141.00	2089.00	2169.00	2325.00	2522.00	3225.00	3275.00	2690.00	3026.00	2352.00	2896.00
27.00	33.00	22.00	24.00	26.00	37.00	27.00	32.00	72.00	85.00	39.00	54.00	68.00
1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	1.00	0.00	1.00	2.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00
8.00	10.00	7.00	4.00	14.00	4.00	6.00	19.00	12.00	18.00	13.00	21.00	18.00
14.84	17.11	16.44	4.55	22.16	4.00	15.18	17.41	6.41	0.00	0.00	12.11	2.23
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00
1890.00	2425.00	1589.00	2392.00	2138.00	1855.00	2526.00	1814.00	2157.00	1615.00	2011.00	2345.00	2317.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
335.00	390.00	473.00	316.00	343.00	398.00	231.00	167.00	142.00	555.00	293.00	253.00	336.00
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.46	5.37	10.41	3.11	24.10	13.18	7.51	10.60	17.32	13.90	30.97	36.37	35.25
1.48	1.90	0.00	0.54	0.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
5.21	7.11	0.00	8.72	0.00	6.41	10.53	10.31	8.22	5.31	12.42	8.78	12.39
0.00	1.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00
365.09	196.13	252.43	278.38	77.81	131.93	40.24	200.14	122.30	521.07	138.65	262.04	196.10
254.00	303.00	304.00	308.00	287.00	263.00	279.00	189.00	296.00	358.00	271.00	382.00	412.00
2.00	0.00	2.00	1.00	1.00	1.00	2.00	1.00	0.00	1.00	1.00	3.00	0.00
68.00	28.00	61.00	58.00	43.00	39.00	35.00	54.00	85.00	55.00	53.00	64.00	49.00
430.00	361.00	409.00	418.00	525.00	430.00	449.00	375.00	287.00	267.00	373.00	318.00	345.00
1164.00	1702.00	1330.00	1458.00	1395.00	1345.00	1454.00	1219.00	1380.00	1702.00	1240.00	1340.00	1240.00
3815.00	4475.00	3871.00	4356.00	4229.00	3954.00	4350.00	4178.00	3299.00	3664.00	3756.00	3987.00	3786.00
65.00	82.00	55.00	58.00	61.00	52.00	63.00	46.00	31.00	128.00	77.00	41.00	80.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	3.00	0.00	1.00	1.00	1.00	1.00	2.00	1.00	0.00	2.00	4.00	1.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4331.00	4040.00	4221.00	4294.00	4195.00	3833.00	4369.00	4069.00	3005.00	3572.00	3807.00	3774.00	3717.00
1035.00	1133.00	995.00	1266.00	954.00	961.00	1270.00	1251.00	1464.00	1041.00	979.00	1160.00	1041.00
146.00	117.00	106.00	103.00	162.00	106.00	107.00	140.00	98.00	159.00	104.00	136.00	121.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
175.00	135.00	173.00	148.00	183.00	134.00	133.00	237.00	205.00	195.00	207.00	209.00	207.00
0.00	1.00	0.00	0.00	1.00	1.00	2.86	0.00	0.00	0.00	0.00	0.00	0.00
2576.00	3771.00	2424.00	3785.00	2875.00	2260.00	3254.00	3021.00	2319.00	2869.00	2326.00	2299.00	2487.00
68.00	64.00	71.00	73.00	85.00	62.00	100.00	87.00	97.00	47.00	63.00	98.00	68.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
3.00	1.00	0.00	1.00	0.00	2.00	2.00	0.00	2.00	0.00	3.00	1.00	3.00
163.00	146.00	149.00	168.00	168.00	162.00	174.00	166.00	122.00	138.00	135.00	115.00	131.00
0.00	0.00	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0.00
52.00	39.00	61.00	49.00	77.00	72.00	88.00	70.00	80.00	61.00	100.00	119.00	149.00
333.00	285.00	281.00	292.00	319.00	232.00	308.00	258.00	227.00	265.00	276.00	215.00	259.00
49.00	22.00	48.00	24.00	32.00	21.00	20.00	34.00	40.00	34.00	19.00	32.00	22.00
0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
835.00	727.00	868.00	803.00	749.00	728.00	788.00	851.00	752.00	616.00	743.00	769.00	729.00
0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
0.00	0.00	1.12	1.00	2.00	1.04	0.00	0.00	0.00	0.00	0.00	1.00	0.00
958.83	917.78	1086.32	940.96	811.24	890.73	1063.92	1133.92	1386.19	1070.74	993.66	971.91	1163.15
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5529.00	5674.00	5853.00	5879.00	4698.00	5116.00	5717.00	5667.00	5637.00	5453.00	5298.00	4746.00	5188.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2.00	0.00	0.00	1.00	1.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00	3.00
58.00	31.00	34.00	30.00	35.00	24.00	36.00	34.00	30.00	37.00	21.00	35.00	43.00
597.00	493.00	579.00	536.00	412.00	441.00	551.00	521.00	611.00	558.00	504.00	459.00	510.00
0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	1.00	0.00	0.00	3.00	0.00	0.00	1.00	2.00	3.00	0.00	2.00
2.00	1.00	0.00	0.00	4.00	1.00	3.00	1.00	0.00	0.00	0.00	4.00	0.00
7.00	11.00	10.00	15.00	14.00	9.00	14.00	12.00	4.00	8.00	9.00	4.00	1.00
780.00	680.00	719.00	759.00	663.00	678.00	789.00	684.00	545.00	678.00	573.00	604.00	529.00
25253.00	27912.00	25511.00	27512.00	25641.00	25051.00	28021.00	22216.00	30083.00	28686.00	23626.00	27024.00	27527.00
504.75	532.56	365.42	435.39	472.36	361.70	398.91	422.44	326.93	626.04	315.18	362.28	272.47
2.00	1.00	0.00	3.00	5.00	0.00	2.00	0.00	0.00	8.00	1.00	0.00	0.00
1040.00	1039.00	935.00	1070.00	1023.00	999.00	1112.00	915.00	1221.00	842.00	1215.00	1182.00	1165.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
236.00	298.00	240.00	265.00	255.00	229.00	244.00	279.00	274.00	333.00	228.00	248.00	255.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	2.00	2.00	4.00	4.00	2.00	2.00	6.00	10.00	1.02	5.71	4.61	18.52
274.00	305.00	255.00	253.00	321.00	250.00	308.00	289.00	421.00	376.00	365.00	414.00	451.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
186.00	363.00	193.00	368.00	211.00	186.00	242.00	264.00	192.00	107.00	166.00	225.00	187.00
688.00	702.00	634.00	681.00	690.00	602.00	730.00	673.00	623.00	593.00	671.00	633.00	703.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	7.43	0.00	0.00	0.00	0.00	0.00	0.00
307.00	322.00	340.00	326.00	370.00	361.00	362.00	421.00	416.00	289.00	386.00	389.00	335.00
77.00	140.00	90.00	112.00	74.00	64.00	90.00	97.00	101.00	126.00	82.00	96.00	86.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	2.00	0.00	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22.00	39.00	40.00	29.85	9.00	44.00	31.60	43.00	57.72	23.00	58.00	18.00	35.00
0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	2.00	0.00	1.00
48.00	33.00	45.00	47.00	52.00	45.00	34.00	54.00	45.00	39.00	59.00	48.00	38.00
62.00	75.00	78.00	90.00	87.00	82.00	78.00	73.00	71.00	90.00	59.00	87.00	87.00
10.00	0.00	0.00	1.00	0.00	0.00	0.00	3.00	0.00	4.00	4.00	3.00	0.00
5.00	6.00	4.00	4.00	4.00	7.00	7.00	6.00	8.00	7.00	15.00	11.00	7.00
511.00	464.00	536.00	732.00	257.00	534.00	736.00	1150.00	1399.00	980.00	671.00	494.00	611.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
270.00	230.00	328.00	261.00	361.00	242.00	231.00	254.00	199.00	222.00	191.00	257.00	239.00
18.00	8.00	13.00	6.00	4.00	10.00	18.00	14.00	13.00	27.00	17.00	4.00	23.00
1.00	4.00	6.00	2.00	2.00	0.00	3.00	6.00	10.00	6.00	5.00	3.00	3.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	21.00	11.00	22.00	15.00	18.00	23.00	21.00	28.00	11.00	32.00	18.00	35.00
13.00	9.00	4.00	15.00	8.00	5.00	3.00	0.00	7.00	4.00	3.00	3.00	15.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1486.00	1872.00	1290.00	2053.00	1402.00	1404.00	1893.00	2015.00	1649.00	1208.00	1722.00	1411.00	1737.00
1051.01	1059.03	1047.58	1098.83	1079.56	987.60	1083.52	1020.03	1016.24	921.34	1011.68	997.93	1072.15
421.93	459.77	344.88	422.77	478.00	423.89	452.88	349.87	241.85	299.90	306.88	279.00	300.00
2365.00	3069.00	2967.00	2865.00	3076.00	2713.00	3046.00	2999.00	3540.00	2778.00	2599.00	3670.00	2964.00
67.00	53.00	61.00	53.00	47.00	66.00	76.00	57.00	92.00	70.00	108.00	94.00	125.00
0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
55.00	32.00	40.00	35.00	58.00	28.00	41.00	48.00	58.00	101.00	64.00	68.00	82.00
0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	0.00
76.00	62.00	67.00	69.00	123.00	126.00	120.00	61.00	162.00	102.00	206.00	229.00	275.00
1517.00	1642.00	1408.00	1756.00	1271.00	1255.00	1483.00	932.00	1436.00	1789.00	1464.00	1150.00	1432.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
589.98	662.95	550.96	585.00	651.97	590.01	651.00	657.90	514.80	546.94	699.00	611.00	775.95
1791.00	1955.00	2806.00	1704.00	1739.00	1990.00	1763.00	2296.00	2485.00	2242.00	2106.00	2029.00	1934.00
15.00	3.00	5.00	3.00	7.00	4.00	6.00	7.00	7.00	7.00	4.00	10.00	1.00
238.00	210.00	219.19	267.22	244.36	172.00	215.00	224.00	347.66	293.00	324.00	240.71	337.00
3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	0.00	0.00
888.00	758.00	806.00	622.00	610.00	513.00	499.00	650.00	402.00	992.00	348.00	489.00	361.00
522.00	610.00	561.00	457.00	456.00	387.00	342.00	313.00	167.00	490.00	300.00	323.00	285.00
357.46	354.06	405.95	372.62	368.93	340.68	371.71	403.45	301.39	403.60	379.90	335.58	412.60
1010.00	1068.00	995.00	1055.00	1078.00	995.00	1120.00	887.00	772.00	755.00	966.00	888.00	822.00
95.00	48.00	70.00	53.00	126.92	131.00	165.86	122.00	148.00	96.36	334.61	298.15	481.87
0.00	0.00	0.00	0.00	0.00	2.00	0.00	1.00	0.00	1.00	0.00	0.00	0.00
1474.00	1621.88	1710.92	1619.00	1705.00	1447.90	1584.92	1563.93	1421.90	1853.96	1513.59	1502.88	1428.74
5741.53	4835.56	5896.90	5711.55	6562.73	6029.18	7267.27	5262.15	5248.90	4647.83	6038.32	6246.23	6704.66
79.00	94.00	183.00	83.00	139.00	142.00	164.00	115.00	81.00	70.00	126.00	141.00	124.00
5.08	9.24	4.17	10.29	15.15	8.18	18.38	7.22	13.47	10.43	4.38	2.09	5.18
1078.91	814.11	624.60	841.82	741.17	656.72	794.17	766.34	739.95	1252.57	768.18	755.38	783.02
0.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
208.00	195.00	190.00	202.00	294.00	327.00	343.00	237.00	346.00	305.00	615.00	457.00	885.00
1.00	2.00	3.00	3.00	0.00	1.00	4.00	1.00	1.00	3.00	0.00	3.00	3.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	1.00	2.00	0.00	0.00	1.00	0.00	8.00	1.00	2.00	0.00	0.00	0.00
27.04	28.01	50.06	23.01	29.07	24.05	41.03	33.01	34.04	34.01	32.01	21.01	28.01
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	2.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00
1528.00	1530.00	1444.00	1638.00	1539.00	1419.00	1721.00	1434.00	1600.00	1411.00	1475.00	1572.00	1704.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
47.00	37.00	25.00	18.00	18.00	28.00	34.00	46.00	14.00	16.00	37.00	27.00	58.00
763.00	701.00	722.00	745.00	658.00	729.00	969.00	712.00	958.00	1047.00	815.00	1035.00	1311.00
1.00	5.00	6.00	9.00	7.00	5.00	5.00	4.00	6.00	13.00	10.00	5.00	11.00
1.00	0.00	1.00	0.00	0.00	1.00	0.00	3.00	0.00	1.00	0.00	0.00	0.00
0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	7.00	1.00	0.00	0.00	0.00
110.00	104.00	106.00	118.00	144.00	121.00	144.00	110.00	103.00	73.00	152.86	135.00	150.87
938.00	912.00	1088.00	901.00	948.00	948.00	1002.00	870.00	772.00	790.00	803.00	858.00	848.00
2.00	2.00	10.00	6.00	5.00	5.00	8.00	2.00	2.00	7.00	8.00	6.00	4.00
4.00	3.00	6.00	2.00	1.00	3.00	1.00	1.00	5.00	6.00	3.00	1.00	4.00
21.83	28.12	38.02	4.36	23.12	19.57	14.86	26.34	1.00	7.28	1.10	31.55	6.58
1.00	1.00	2.00	0.00	4.00	0.00	0.00	1.00	3.00	1.00	0.00	0.00	1.00
1.00	2.00	1.00	0.00	0.00	0.00	1.00	0.00	1.00	0.00	2.00	0.00	1.00
115.00	91.00	102.00	68.00	82.00	88.00	118.00	79.00	103.00	104.00	114.00	63.00	122.00
172.96	235.81	248.93	338.48	201.84	234.74	255.00	287.49	114.61	146.47	204.21	219.46	141.76
1.00	0.00	2.00	1.00	0.00	1.00	2.00	0.00	2.00	1.00	1.00	1.00	0.00
3844.61	3948.49	4556.20	3924.50	3531.66	3402.75	3621.59	4059.67	4781.64	3975.30	3621.51	4208.64	4205.63
2688.00	3166.00	2943.00	3234.00	2914.00	2789.00	2993.00	2663.00	2835.00	3079.00	2780.00	2851.00	2697.00
952.00	911.00	943.00	826.00	917.00	823.00	818.00	1064.00	1046.00	1247.00	846.00	953.00	989.00
727.03	1249.26	481.38	1345.53	709.08	621.60	1132.17	1266.74	648.00	565.08	796.43	553.88	831.61
1260.00	1590.00	1796.00	1509.00	1447.00	1466.00	1351.00	1974.00	1823.00	1363.00	1379.00	1522.00	1252.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
2495.25	1509.10	1571.78	1627.65	953.60	1587.12	2395.26	2483.74	4490.36	2594.76	2283.56	4668.24	2050.00
810.00	882.00	918.00	840.00	1103.00	894.00	967.00	865.00	890.00	774.00	1084.00	1125.00	1218.00
1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	1.00	5.00
129.00	145.00	179.00	134.00	165.00	166.00	222.00	168.00	165.00	161.00	208.00	218.00	238.00
0.00	0.00	0.00	1.00	0.00	0.00	2.00	0.00	0.00	6.25	0.00	0.00	0.00
928.00	941.00	965.00	1013.00	1821.00	1704.00	1947.00	973.00	2007.00	1276.00	3403.00	3359.00	4861.00
2887.00	3012.00	2857.00	2960.00	3196.98	2875.00	2961.00	2978.00	2404.00	2675.00	2786.99	2961.98	3034.00
218.00	233.00	337.00	251.00	195.00	216.00	252.00	396.00	603.00	186.00	303.00	323.00	362.00
0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
826.00	779.00	611.00	734.00	761.00	670.00	782.00	697.00	545.00	917.00	754.00	715.00	706.00
7.00	2.00	7.00	2.00	6.00	0.00	7.00	3.00	3.00	1.00	12.00	3.00	0.00
698.00	727.00	667.00	717.00	762.00	674.00	831.00	739.00	730.00	575.00	725.00	734.00	824.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
191.00	248.00	192.00	278.00	205.00	210.00	211.00	182.00	236.00	259.00	234.00	232.00	212.00
1133.00	1083.00	1188.00	1203.00	924.00	1080.00	1142.00	1434.00	1212.00	1144.00	1081.00	1017.00	1017.00
1388.00	876.00	1885.00	939.00	953.00	917.00	543.00	402.00	301.00	1277.00	584.00	474.00	353.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
182.00	160.00	157.00	165.00	200.00	174.00	233.00	168.00	256.00	213.00	337.00	307.00	373.00
934.98	336.00	480.00	325.00	445.00	401.31	367.00	547.00	710.20	1030.00	514.00	796.07	542.00
51.81	73.00	45.70	103.38	46.28	71.77	78.63	60.62	73.31	73.43	97.21	82.68	91.45
254.00	252.00	295.00	238.00	282.00	261.00	272.00	236.00	261.00	208.00	288.00	217.00	282.00
0.00	1.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	1.00	0.00
1591.00	1418.00	1607.00	1341.00	1604.00	1401.00	1655.00	2042.00	2870.00	1769.00	1995.00	2574.00	2394.00
0.00	0.00	0.00	0.00	0.00	2.00	3.00	0.00	0.00	0.00	1.00	0.00	0.00
1147.00	1138.00	1240.00	1058.00	1141.00	1034.00	1094.00	1277.00	1301.00	1155.00	976.00	1092.00	1174.00
81.00	47.00	45.00	35.00	43.00	39.00	51.00	49.00	97.00	76.00	56.00	67.00	82.00
0.00	0.00	3.87	0.00	1.86	0.00	0.00	0.00	0.00	3.23	0.00	0.00	3.91
161.00	192.00	226.00	144.00	199.00	162.00	150.00	182.00	171.00	152.00	163.00	169.00	142.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
685.00	645.00	627.00	674.00	735.00	637.00	707.00	624.00	448.00	583.00	638.00	607.00	715.00
901.97	921.77	881.31	879.04	732.35	765.49	803.09	698.49	871.45	853.46	754.58	794.89	769.60
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
823.00	799.00	866.00	770.00	1097.00	840.00	834.00	854.00	688.00	844.00	895.00	904.00	860.00
234.00	338.00	248.00	328.00	354.00	321.00	331.00	309.00	466.00	376.00	469.00	523.00	592.00
0.00	0.00	0.00	0.00	2.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
275.00	235.00	246.00	217.00	247.00	205.00	221.00	234.00	251.00	289.00	206.00	194.00	239.00
2799.00	2650.00	2892.00	2852.00	3075.00	2823.00	3135.00	2925.00	2288.00	2122.00	2635.00	2558.00	2935.00
5305.00	7743.00	6145.00	7389.00	7146.00	6187.00	7099.00	6862.00	5605.00	6166.00	6342.00	6172.00	6475.00
1.00	0.00	3.00	0.00	1.00	0.00	0.00	1.00	0.00	3.00	0.00	0.00	0.00
0.00	2.13	2.00	2.00	0.00	0.00	2.00	2.14	0.00	0.00	5.46	7.44	1.00
1.00	0.00	0.00	1.00	1.00	2.00	4.00	4.38	0.00	2.48	5.00	4.09	4.00
38.00	56.00	56.00	53.00	57.00	56.00	46.00	45.00	39.00	55.00	38.00	31.00	41.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	2.00	0.00	2.00	1.00	0.00	1.00	0.00	0.00	4.00	2.00	0.00	10.00
1220.03	1204.79	1437.26	1220.94	1069.41	1252.78	1279.08	1335.75	1296.29	1324.34	1321.28	1323.00	1290.47
45.00	35.00	35.00	51.00	43.00	40.00	39.00	65.00	77.00	27.00	49.00	47.00	65.00
71.00	92.00	64.00	71.00	68.00	51.00	60.00	43.00	85.00	111.00	50.00	59.00	59.00
0.00	0.00	0.00	0.00	0.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
847.00	877.00	993.00	788.00	729.00	809.00	945.00	1422.00	1671.00	907.00	1232.00	1102.00	1308.00
1599.00	1842.00	1757.00	1848.00	1838.00	1640.00	1491.00	1283.00	1315.00	1759.00	1672.00	1631.00	1367.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.01	48.47	42.57	26.70	52.22	43.32	66.10	53.03	19.62	22.66	38.17	35.45	41.76
510.00	459.00	536.00	467.00	384.00	419.00	431.00	564.00	561.00	526.00	498.00	462.00	503.00
2718.00	3455.00	2642.00	3332.00	3251.00	2661.00	3027.00	3102.00	2845.00	2813.00	2718.00	2779.00	3063.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
835.00	942.00	798.00	975.00	877.00	919.00	1036.00	858.00	1377.00	1117.00	843.00	1096.00	1005.00
186.00	211.00	307.00	195.00	275.00	222.00	246.00	301.00	255.00	219.00	210.00	352.00	137.00
0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
395.00	258.00	261.00	313.00	227.00	271.00	373.00	368.00	324.00	382.00	356.00	328.00	310.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
460.00	518.00	553.00	529.00	466.00	571.00	564.00	608.00	611.00	544.00	525.00	607.00	719.00
404.00	397.00	328.00	432.00	470.00	392.00	479.00	446.00	367.00	343.00	548.00	426.00	496.00
0.00	1.00	0.00	0.00	1.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00
124.00	184.00	168.00	139.00	100.00	136.00	136.00	150.00	181.00	155.00	127.00	132.00	157.00
6.00	3.00	2.00	6.00	2.00	1.00	1.00	2.00	1.00	5.00	2.00	3.00	3.00
375.00	288.00	355.00	382.00	281.00	322.00	426.00	391.00	439.00	335.00	438.00	331.00	417.00
5611.00	6245.00	5872.00	5954.00	5852.00	5603.00	5483.00	5729.00	7854.00	7503.00	5939.00	6858.00	7131.00
467.00	520.00	415.00	506.04	460.00	431.00	415.00	397.00	488.00	579.00	417.00	422.00	369.00
2200.00	2045.00	2121.00	2214.00	2107.00	1999.00	2296.00	1830.00	1914.00	1800.00	1815.00	1904.00	1902.00
309.23	312.43	351.38	245.00	397.49	323.21	332.76	368.00	404.00	387.00	459.71	414.00	532.71
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
177.00	167.00	206.00	167.00	208.00	179.00	181.00	163.00	158.00	114.00	166.00	158.00	187.00
472.00	403.00	820.00	369.00	553.00	471.00	460.00	693.00	623.00	421.00	504.00	651.00	464.00
285.00	316.00	263.00	320.00	229.00	248.00	415.00	571.00	517.00	436.00	480.00	346.00	480.00
23.00	26.00	25.00	26.00	22.00	38.00	35.00	16.00	25.00	17.00	24.00	23.00	18.00
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
83.00	76.00	87.00	110.00	94.00	84.00	142.00	102.00	106.00	50.00	81.00	55.00	68.00
26.00	8.00	8.00	16.00	13.00	18.00	10.00	6.00	6.00	14.00	27.00	18.00	34.00
503.81	719.23	580.62	654.39	595.89	553.95	634.32	897.85	818.49	629.62	613.86	766.12	769.66
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00
1021.00	1107.00	1137.00	996.00	1244.00	1081.00	935.00	947.00	735.00	1071.00	933.00	958.00	905.00
25.00	32.00	42.00	13.00	18.00	29.00	36.00	33.00	22.00	24.00	36.00	17.00	27.00
1.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	1.00	0.00	0.00	2.00	4.00
305.17	253.02	311.51	286.72	200.00	297.45	241.00	308.93	319.00	258.00	289.29	219.00	279.42
374.00	391.00	346.00	344.00	333.00	334.00	358.00	424.00	320.00	394.00	377.00	355.00	379.00
891.00	1222.00	1057.00	1128.00	1272.00	1118.00	1221.00	1095.00	1010.00	980.00	1128.00	1210.00	1203.00
911.00	991.98	812.96	948.96	822.98	665.95	785.91	874.95	729.99	1007.00	1051.00	896.88	1111.85
24.00	27.00	52.00	29.00	56.00	78.00	106.00	26.00	22.00	29.00	207.00	186.00	209.00
3029.00	2940.00	3259.00	2869.00	2853.00	2967.00	2853.00	2589.00	2992.00	3424.00	2921.00	3014.00	3337.00
2036.00	1614.00	2199.00	1470.00	1487.00	1652.00	1749.00	2215.00	2324.00	2123.00	1944.00	1614.00	1853.00
1486.03	1412.04	1617.04	1519.03	1635.04	1433.28	1388.27	1299.05	1101.05	1204.04	1349.03	1281.04	1398.07
225.00	209.00	243.00	203.00	227.00	212.00	223.00	236.00	313.00	284.00	265.00	256.00	253.00
4.00	4.00	1.00	1.00	1.00	2.00	6.00	2.05	2.00	2.00	2.00	1.00	2.00
304.00	343.00	304.00	317.00	339.00	337.00	351.00	367.00	436.00	188.00	316.00	414.00	343.00
11029.00	14950.00	10743.00	12709.00	13253.00	11108.00	11805.00	13382.00	10139.00	13681.00	13388.00	12898.00	13834.00
